i,j,weight
39,62,0.23050878209171835
39,63,0.20260988724291198
40,51,0.057270933549895535
40,52,0.05580484033804914
40,53,0.06807598884248578
40,54,0.07421778715979249
40,55,0.06941245191641093
40,56,0.08296437586452819
40,57,0.07607445125814802
40,58,0.07088147287765345
40,59,0.07935610821494479
40,60,0.09321273940774369
40,61,0.08316045031345615
40,62,0.09673295852734834
40,63,0.08497666513504029
41,51,0.12722205118768867
41,52,0.12436132927240923
41,53,0.15197597274227614
41,54,0.16606267113148884
41,55,0.15555213411631946
41,56,0.18612344095912156
41,57,0.17082904189149692
41,58,0.15923359296903367
41,59,0.17835428249839574
41,60,0.20962827269143547
41,61,0.1870780508056538
41,62,0.21770188072309912
41,63,0.19124280766192756
42,51,0.050903848670732464
42,52,0.05020967425119158
42,53,0.061760095896259165
42,54,0.06791792115922511
42,55,0.06388100946458097
42,56,0.07668752339795416
42,57,0.07055630417816089
42,58,0.06583245740176845
42,59,0.07384454678011439
42,60,0.0869631431267174
42,61,0.07765655401566816
42,62,0.09049279889844376
42,63,0.07947643990900213
43,51,0.04353022811601559
43,52,0.043237034398765695
43,53,0.05341287785972917
43,54,0.05901857692482767
43,55,0.05567883813969905
43,56,0.06700201941085827
43,57,0.06175391886433449
43,58,0.057661035757435836
43,59,0.06474652857502763
43,60,0.07637925216518979
43,61,0.06821584002242453
43,62,0.07960190618171077
43,63,0.06987213013917279
44,50,0.03666265076508091
44,51,0.046466703625165376
44,52,0.04632195492374674
44,53,0.057342399608565575
44,54,0.06351135861877333
44,55,0.06001199726676911
44,56,0.07230662287737613
44,57,0.06669652813255979
44,58,0.062300890249255725
44,59,0.06998934571156491
44,60,0.08263778230648358
44,61,0.07381724507130556
44,62,0.08618666706497273
44,63,0.07564615803951119
45,51,0.050377935115765465
45,52,0.05057751389290387
45,53,0.0628632410082924
45,54,0.06995537417444948
45,55,0.0662897083447196
45,56,0.08008889796593434
45,57,0.07399040957645966
45,58,0.06914445658684024
45,59,0.07778751048330228
45,60,0.09196346683943608
45,61,0.08218952715911035
45,62,0.09604256273921215
45,63,0.08429112629623234
46,53,0.04972191318234577
46,54,0.05597523701899208
46,55,0.05337597744545178
46,56,0.06488238807345496
46,57,0.06014771595130547
46,58,0.05627749891526071
46,59,0.06348373040958517
46,60,0.07532091437904381
46,61,0.067351340067802
46,62,0.07890697175880775
46,63,0.06919785568503173
47,53,0.053848455734465166
47,54,0.06104973482516039
47,55,0.05847207336495898
47,56,0.071317169733983
47,57,0.06626795259253156
47,58,0.06206759212036019
47,59,0.07010855096534664
47,60,0.08337573798587522
47,61,0.07457389433503026
47,62,0.08751853825548919
47,63,0.07670638791945508
48,56,0.05745321952344841
48,57,0.05360513421186604
48,58,0.050269564437830046
48,59,0.05699774971167595
48,60,0.06807832364394645
48,61,0.0609312382215088
48,62,0.0717289781013121
48,63,0.06280930526303037
49,56,0.0497282500746706
49,59,0.04962267423883501
49,60,0.059454919611145574
49,61,0.053222418005103515
49,62,0.06279708173078277
49,63,0.05494117620277813
50,56,0.05306614630009614
50,59,0.05315995239103212
50,60,0.06382700245717382
50,61,0.05713903117424826
50,62,0.06752465706214959
50,63,0.05903893281099737
51,60,0.07029083468875802
51,62,0.07457063570486724
51,63,0.06513721856655848
52,62,0.061424158206313736
