frequency,power
1029215346096707.5,0.0
1047152671416162.2,0.0
1065402611234454.5,0.0
1083970613845754.4,0.0
1102862222497942.1,0.0
1122083077047485.1,0.0
1141638915643156.8,0.0
1161535576439076.0,0.0
1181778999337626.0,0.0
1202375227762723.5,0.0
1223330410464018.8,0.0
1244650803352538.2,0.0
1266342771368294.2,0.0
1288412790380465.8,0.0
1310867449120693.0,0.0
1333713451150046.5,0.0
1356957616860303.2,0.0
1380606885510100.5,0.0
1404668317296551.0,0.0
1429149095462987.0,0.0
1454056528443413.5,0.0
1479398052044360.5,0.0
1505181231664764.0,0.0
1531413764554505.5,0.0
1558103482112335.0,0.0
1585258352223847.0,0.0
1612886481640173.0,0.0
1640996118398166.0,0.0
1669595654282762.8,0.0
1698693627332227.5,0.0
1728298724387093.0,0.0
1758419783683486.8,0.0
1789065797491691.5,0.0
1820245914800691.2,0.0
1851969444049467.8,0.0
1884245855905926.5,0.0
1917084786094255.8,0.0
1950496038271530.5,0.0
1984489586954486.8,0.0
2019075580497307.5,0.0
2054264344121265.5,0.0
2090066382997205.5,0.0
2126492385381699.8,0.0
2163553225807955.8,0.0
2201259968332203.5,0.0
2239623869836794.2,0.0
2278656383390769.0,0.0
2318369161669049.5,0.0
2358774060431170.5,0.0
2399883142060691.5,0.0
2441708679166288.5,0.0
2484263158245564.5,0.0
2527559283412755.5,0.0
2571609980191350.5,0.0
2616428399372913.5,0.0
2662027920943011.0,0.0
2708422158075713.0,0.0
2755624961197596.0,0.0
2803650422122639.5,0.0
2852512878259129.5,0.0
2902226916889933.5,0.0
2952807379527381.5,0.0
3004269366343979.5,0.0
3056628240680404.0,0.0
3109899633631986.5,0.0
3164099448715274.0,0.0
3219243866615724.0,0.0
3275349350018339.5,0.0
3332432648522346.5,0.0
3390510803641610.5,0.0
3449601153892126.0,0.0
3509721339968243.5,0.0
3570889310009109.5,0.0
3633123324956821.0,0.0
3696441964008032.0,0.0
3760864130160485.0,0.0
3826409055856369.5,0.0
3893096308723812.0,0.0
3960945797418654.5,0.0
4029977777567879.5,0.0
4100212857816705.5,0.0
4171672005980996.5,0.0
4244376555306976.5,0.0
4318348210840039.0,0.0
4393609055904474.0,0.0
4470181558696202.5,0.0
4548088578990308.0,0.0
4627353374965668.0,0.0
4707999610148248.0,0.0
4790051360475687.0,0.0
4873533121484792.0,0.0
4958469815624424.0,0.0
5044886799695720.0,0.0
5132809872422098.0,0.0
5222265282151184.0,0.0
5313279734690874.0,0.0
5405880401282066.0,0.0
5500094926710206.0,0.0
5595951437558459.0,0.0
5693478550604366.0,0.0
5792705381363196.0,0.0
5893661552779925.0,0.0
5996377204072855.0,0.0
6100882999731227.0,0.0
6207210138669774.0,0.0
6315390363542825.0,0.0
6425455970220607.0,0.0
6537439817430827.0,0.0
6651375336568136.0,0.0
6767296541674844.0,0.0
6885238039595180.0,0.0
7005235040306923.0,0.0
7127323367432801.0,0.0
7251539468935248.0,0.0
7377920427997402.0,0.0
7506503974093891.0,0.0
7637328494254563.0,0.0
7770433044524369.0,0.0
7905857361623126.0,0.0
8043641874808295.0,0.0
8183827717944861.0,0.0
8326456741785081.0,0.0
8471571526462740.0,0.0
8619215394204791.0,0.0
8769432422264742.0,0.0
8922267456081264.0,0.0
9077766122666318.0,0.0
9235974844226608.0,0.0
9396940852022246.0,0.0
9560712200467140.0,0.0
9727337781474892.0,0.0
9896867339055144.0,0.0
1.006935148416372e+16,0.0
1.024484170981219e+16,0.0
1.0423390406440304e+16,0.0
1.060505087755664e+16,0.0
1.078987735565137e+16,0.0
1.0977925018387202e+16,0.0
1.116925000507166e+16,0.0
1.136390943341686e+16,0.0
1.1561961416591298e+16,0.0
1.176346508056882e+16,0.0
1.1968480581780054e+16,0.0
1.2177069125070968e+16,0.0
1.2389292981975412e+16,0.0
1.2605215509305128e+16,0.0
1.2824901168064344e+16,0.0
1.3048415542693394e+16,0.0
1.3275825360648758e+16,0.0
1.3507198512323324e+16,0.0
1.3742604071314312e+16,0.0
1.3982112315044352e+16,0.0
1.422579474574194e+16,0.0
1.447372411178766e+16,0.0
1.4725974429431852e+16,0.0
1.4982621004891942e+16,0.0
1.5243740456833722e+16,0.0
1.5509410739245152e+16,0.0
1.5779711164708052e+16,0.0
1.6054722428076646e+16,0.0
1.6334526630567518e+16,0.0
1.661920730427004e+16,0.0
1.6908849437083846e+16,0.0
1.7203539498090918e+16,0.0
1.7503365463370002e+16,0.0
1.7808416842260222e+16,0.0
1.8118784704083828e+16,0.0
1.8434561705333256e+16,0.0
1.875584211733288e+16,0.0
1.908272185438192e+16,0.0
1.9415298502389416e+16,0.0
1.975367134800666e+16,0.0
2.0097941408268172e+16,0.0
2.0448211460749076e+16,0.0
2.0804586074248084e+16,0.0
2.1167171640005376e+16,0.0
2.153607640346373e+16,0.0
2.191141049658486e+16,0.0
2.2293285970727304e+16,0.0
2.2681816830098292e+16,0.0
2.3077119065787584e+16,0.0
2.3479310690396264e+16,0.0
2.388851177326723e+16,0.0
2.4304844476330576e+16,0.0
2.4728433090573536e+16,0.0
2.5159404073146028e+16,0.0
2.559788608511308e+16,0.0
2.604401002986417e+16,0.0
2.6497909092194044e+16,0.0
2.6959718778062604e+16,0.0
2.7429576955048932e+16,0.0
2.7907623893509076e+16,0.0
2.8394002308453372e+16,0.0
2.8888857402151344e+16,0.0
2.9392336907480284e+16,0.0
2.990459113202908e+16,0.0
3.042577300297068e+16,0.0
3.0956038112716864e+16,0.0
3.1495544765367444e+16,0.0
3.2044454023971484e+16,0.0
3.26029297586097e+16,0.0
3.3171138695316364e+16,0.0
3.3749250465852224e+16,0.0
3.4337437658347572e+16,0.0
3.493587586882525e+16,0.0
3.554474375362292e+16,0.0
3.616422308272873e+16,0.0
3.679449879404647e+16,0.0
3.743575904860683e+16,0.0
3.808819528673934e+16,0.0
3.8752002285226296e+16,0.0
3.9427378215449784e+16,0.0
4.0114524702553944e+16,0.0
4.081364688563632e+16,0.0
4.152495347899158e+16,0.0
4.224865683441931e+16,0.0
4.29849730046193e+16,0.0
4.373412180769145e+16,0.0
4.449632689275973e+16,0.0
