time,h_plus,h_cross
0.5700000000000001,1.870280543929169e-32,2.5617422876732726e-32
0.5710000000000001,2.9396395959659093e-32,1.1770780888329456e-32
0.5720000000000001,3.1110766614180785e-32,-5.610954635656043e-33
0.5730000000000001,2.3354213839685123e-32,-2.1227756459933855e-32
0.5740000000000001,8.518128070514131e-33,-3.0334202590481305e-32
0.5750000000000001,-8.860163253581167e-33,-3.018138986591817e-32
0.5760000000000001,-2.348498488608417e-32,-2.0846623229288953e-32
0.577,-2.3326413986987266e-32,-2.09457158073956e-32
0.578,-3.0834312309886397e-32,-5.368341463759539e-33
0.579,-3.075179619011252e-32,-5.5354427519514957e-33
0.58,-2.895480560630789e-32,1.1605359335536723e-32
0.581,-1.8354511678663625e-32,2.515827664042767e-32
0.582,-2.2052701518648574e-33,3.1011875005771577e-32
0.583,1.4561167160637562e-32,2.741086251980556e-32
0.584,2.6841683041978743e-32,1.5482283237372828e-32
0.585,3.09149504366104e-32,-1.1169693471477607e-33
0.586,2.5569020112985007e-32,-1.7321153624262993e-32
0.587,1.2461696497884875e-32,-2.8201582259814995e-32
0.588,-4.3933868583210704e-33,-3.04656824166718e-32
0.589,-1.9855725001603546e-32,-2.3453291812412215e-32
0.59,-2.9225651796311677e-32,-9.328748069372442e-33
0.591,-2.967271122846794e-32,7.586994166798004e-33
0.592,-2.1090582179713604e-32,2.213815816006993e-32
0.593,-6.120360501078617e-33,2.990552975466466e-32
0.594,1.0662117483247272e-32,2.854851915340124e-32
0.595,2.4144877398593486e-32,1.8510350668690903e-32
0.596,3.0236870993205613e-32,2.8739511040582298e-33
0.597,2.7109249590955283e-32,-1.3584792058806476e-32
0.598,1.57442495298246e-32,-2.585569256227952e-32
0.599,-3.730005911125161e-34,-3.0219356815959906e-32
0.6,-1.6323133341973418e-32,-2.5374486137023484e-32
0.601,-2.725399609646491e-32,-1.2825740257569437e-32
0.602,-2.985665855102195e-32,3.583381783827175e-33
0.603,-2.336699454456597e-32,1.884768066913436e-32
0.604,-9.789693177331657e-33,2.832691719673072e-32
0.605,6.72086689369122e-33,2.9156355891812046e-32
