topology,n_meridians,n_longitudes,level,eigenvalue,scaled_eigenvalue,gap,ratio
klein,32,32,6,0.15224093497742647,15.79543729226653,0.027692167248305075,0.7205977456200008
klein,32,32,7,0.16187148163303217,16.794634359805706,0.009630546655605698,0.3477715040954458
klein,32,32,8,0.19067037417096588,19.782602748446408,0.028798892537933718,2.9903694533446457
klein,32,32,9,0.2361574713032899,24.50202062687309,0.04548709713232402,1.5794738312387777
klein,32,32,10,0.2383602635130091,24.730566689216126,0.0022027922097191954,0.04842674843178437
klein,32,32,11,0.2745869104968286,28.489186083052893,0.0362266469838195,16.445784956011604
klein,32,32,12,0.304481869954853,31.590874584533065,0.029894959458024395,0.8252201610426951
klein,32,32,13,0.3370607753949093,34.97103024375437,0.032578905440056316,1.0897792146465513
klein,32,32,14,0.346691322050516,35.97022731129365,0.009630546655606698,0.29560682059519955
klein,32,32,15,0.37549021458844917,38.95819569993429,0.028798892537933163,2.990369453344278
klein,32,32,16,0.38839840628071676,40.29745791913966,0.01290819169226759,0.4482183360094577
klein,32,32,17,0.4231801039304919,43.90615964070396,0.03478169764977512,2.6945445558118295
klein,32,32,18,0.4539790932745258,47.10164385735703,0.03079898934403391,0.8854941370072268
klein,32,32,19,0.48930171037233583,50.766467536020905,0.03532261709781004,1.146875850478269
klein,32,32,20,0.4924085324680655,51.088809313536935,0.0031068220957296555,0.08795560326480664
torus,32,32,0,9.824184583786914e-17,1.0192875625985001e-14,,
torus,32,32,1,0.03842943919353924,3.9871654561798584,0.038429439193539146,
torus,32,32,2,0.07685887838707844,7.974330912359712,0.0384294391935392,1.0000000000000016
torus,32,32,3,0.15224093497742675,15.79543729226656,0.0753820565903483,1.9615705608064562
torus,32,32,4,0.1906703741709657,19.782602748446386,0.038429439193538945,0.509795579104157
torus,32,32,5,0.30448186995485244,31.590874584533008,0.11381149578388675,2.9615705608064564
torus,32,32,6,0.3370607753949101,34.97103024375445,0.03257890544005765,0.28625320505338725
torus,32,32,7,0.3754902145884492,38.9581956999343,0.03842943919353914,1.179580427103236
torus,32,32,8,0.4893017103723359,50.76646753602091,0.11381149578388666,2.961570560806439
